District,Latitude,Longitude
Kuliarchar ,24.153209,90.896122
Mithamain ,24.419558,91.063402
Nikli ,24.354873,90.962952
Pakundia ,24.308785,90.696285
Tarail ,24.545202,90.92475
Madaripur Sadar,23.215535,90.168227
Kalkini,23.072433,90.280787
Rajoir,23.206683,90.04899
Shibchar,23.358449,90.168227
Manikganj Sadar ,23.834677,90.018656
Singair ,23.786991,90.168227
Shibalaya ,23.834622,89.86922
Saturia ,23.972972,90.036153
Harirampur ,23.715676,89.96268
Ghior ,23.870348,89.915978
Daulatpur ,23.941626,89.803664
Lohajang ,23.474305,90.32073
Sreenagar ,23.54879,90.280787
Munshiganj Sadar ,23.500474,90.544691
Sirajdikhan ,23.596162,90.393672
Tongibari ,23.509655,90.46675
Gazaria ,23.547811,90.620416
Bhaluka,24.407929,90.386607
Trishal,24.581658,90.39485
Haluaghat,25.11734,90.356008
Muktagachha,24.766018,90.256137
Dhobaura,25.116904,90.506882
Fulbaria,24.571553,90.262004
Gaffargaon,24.457185,90.548696
Gauripur,24.736913,90.582536
Ishwarganj,24.692342,90.59437
Mymensingh Sadar,24.785106,90.356008
Nandail,24.568722,90.690353
Phulpur,24.975079,90.318379
Araihazar ,23.791656,90.653591
Sonargaon ,23.690642,90.620416
Bandar,23.631449,90.535236
Naryanganj Sadar ,23.631574,90.497436
Rupganj ,23.833721,90.544691
Siddirgonj ,23.71466,90.563609
Belabo ,24.106647,90.85143
Monohardi ,24.165958,90.734273
Narsingdi Sadar ,23.880702,90.696285
Palash ,23.964178,90.64885
"Raipura , Narsingdi",23.9749,90.8866
Shibpur ,24.023079,90.772297
Kendua,24.688369,90.810357
Atpara,24.809776,90.860365
Barhatta,24.925333,90.886583
Durgapur,25.113273,90.674933
Kalmakanda,25.067912,90.848452
Madan,24.7143,90.9462
Mohanganj,24.874322,90.979677
Netrakona Sadar,24.855,90.7153
Purbadhala,24.926823,90.582536
Khaliajuri,24.686418,91.116117
Baliakandi ,23.634687,89.547405
Goalandaghat ,23.739292,89.756769
Pangsha ,23.780022,89.412731
Kalukhali ,23.427954,89.083143
Rajbari Sadar ,23.715315,89.662811
Shariatpur Sadar -Palong,23.2153,90.3184
Damudya ,23.131682,90.421944
Naria ,23.262676,90.431373
Jajira ,23.347831,90.300753
Bhedarganj ,23.214812,90.506882
Gosairhat ,23.09884,90.452595
Jhenaigati ,25.185938,90.062999
Nakla ,24.975276,90.205711
Nalitabari ,25.141367,90.186964
Sherpur Sadar ,25.022872,90.018656
Sreebardi ,25.147401,89.939336
Tangail Sadar ,24.262769,89.86922
Sakhipur ,24.286485,90.186964
Basail ,24.233097,90.051325
Madhupur ,24.643032,90.055994
Ghatail ,24.476738,90.03732
Kalihati ,24.357903,89.944006
Nagarpur ,24.057671,89.876238
Mirzapur ,24.105253,90.105056
Gopalpur ,24.562854,89.927659
Delduar ,24.120143,89.944006
Bhuapur ,24.45284,89.794289
Dhanbari ,24.690533,89.944006
Bagerhat Sadar ,22.655452,89.766153
Chitalmari ,22.786664,89.86922
Fakirhat ,22.777513,89.70747
Kachua ,23.341144,90.888968
Mollahat ,22.881864,89.756769
Mongla ,22.49422,89.601617
Morrelganj ,22.449941,89.852842
Rampal ,22.595713,89.681621
Sarankhola ,22.095223,89.813036
Damurhuda ,23.606738,88.77585
Chuadanga Sadar ,23.641984,88.856576
Jibannagar ,23.422604,88.8239
Alamdanga ,23.762667,88.943781
Abhaynagar ,23.023818,89.379583
Keshabpur ,22.880184,89.227703
Bagherpara ,23.214254,89.341667
Jessore Sadar ,23.166097,89.227703
Chaugachha ,23.260329,89.037048
Manirampur ,23.023153,89.227703
Jhikargachha ,23.099907,89.099108
Sharsha ,23.069281,88.960536
Jhenaidah Sadar ,23.499124,89.151548
Maheshpur ,23.330349,88.826301
Kaliganj ,23.356252,89.151548
Kotchandpur ,23.407529,89.011958
Shailkupa ,23.684083,89.241966
Harinakunda ,23.641528,89.07525
Terokhada ,22.935322,89.667514
Batiaghata ,22.726361,89.502564
Dacope ,22.601235,89.507287
Dumuria ,22.857225,89.436391
Dighalia ,22.881361,89.53089
Koyra ,22.094086,89.36063
Paikgachha ,22.593092,89.316765
Phultala ,22.940664,89.445851
Rupsa ,22.822051,89.63458
Kushtia Sadar,23.831919,89.07525
Kumarkhali,23.859581,89.239589
Daulatpur,24.020689,88.845504
Mirpur,23.87903,88.99881
Bheramara,24.020975,88.992234
Khoksa,23.797376,89.294221
Magura Sadar ,23.452716,89.417464
Mohammadpur ,23.405578,89.568627
Shalikha ,23.357162,89.341667
Sreepur ,24.199657,90.48091
Gangni ,23.820652,88.742183
Mujib Nagar ,23.646846,88.592761
Meherpur Sadar ,23.778046,88.650939
Narail Sadar,23.1657,89.499
Lohagara,23.167579,89.643992
Kalia,23.024629,89.643992
Satkhira Sadar ,22.736163,89.037048
Assasuni ,22.546319,89.189643
Debhata ,22.580946,88.989245
Tala ,22.760933,89.208677
Kalaroa ,22.87915,89.037048
Kaliganj ,23.964478,90.573071
Shyamnagar ,21.950168,89.1706
Adamdighi,24.829925,89.037048
Bogra Sadar,24.879042,89.341667
Sherpur,24.64192,89.417464
Dhunat,24.677969,89.540328
Dhupchanchia,24.8812,89.177742
Gabtali,24.879497,89.455309
Kahaloo,24.831216,89.265727
Nandigram,24.688568,89.227703
Sahajanpur,24.760427,89.36063
Sariakandi,24.888773,89.570984
Shibganj,25.000568,89.320323
Sonatala,25.010183,89.502564
Joypurhat S,25.1147,89.037
Akkelpur,24.969246,89.020323
Kalai,25.080035,89.199161
Khetlal,25.038009,89.108648
Panchbibi,25.209753,89.07525
Naogaon Sadar ,24.78139,88.883883
Mohadevpur ,24.919792,88.751805
